C,C#,D,D#,E,F,F#,G,G#,A,A#,B,label
0.188617682,0.022861955,0.09497965,0.116983177,0.045437767,0.116438367,0.018289564,0.167344545,0.054868691,0.032006737,0.111568366,0.030603499,13
0.188645891,0.0,0.095969212,0.112327525,0.014870271,0.138955136,0.0,0.205564539,0.126226454,0.0,0.097613944,0.019827028,13
0.195137478,0.014561092,0.12471397,0.0,0.163354545,0.074749744,0.009914207,0.144683468,0.019828413,0.164957332,0.0,0.08809975,1
0.206112176,0.009436644,0.099876061,0.0,0.162960029,0.09293018,0.009741457,0.139907167,0.019482913,0.169999128,0.0,0.089554247,1
0.172127641,0.014078468,0.097109081,0.162509754,0.022023916,0.117399121,0.009385646,0.167327276,0.059566499,0.028156937,0.118906099,0.031409562,13
0.180411072,0.004840108,0.108735606,0.156873585,0.00937732,0.102299999,0.0,0.173006536,0.103895498,0.009680216,0.102095064,0.048784996,13
0.206850276,0.007118181,0.100219139,0.173241306,0.014337657,0.114010041,0.0,0.152563269,0.093100958,0.0,0.083798253,0.054760922,13
0.206819903,0.0,0.085578015,0.152214938,0.02773486,0.126600447,0.006909135,0.16814597,0.085578015,0.020727405,0.071327368,0.048363944,13
0.183275626,0.006700607,0.10732187,0.161553565,0.013496567,0.085051517,0.020101821,0.178900531,0.071230976,0.020101821,0.094016009,0.058249089,13
0.227390899,0.00711063,0.085446579,0.146815052,0.035654336,0.080963143,0.00711063,0.194497813,0.090819988,0.021331889,0.06237747,0.040481571,13
0.235862948,0.0,0.104046558,0.0,0.156483599,0.098560958,0.005004846,0.200505486,0.005004846,0.125601896,0.0,0.068928864,1
0.165415236,0.0,0.11465664,0.172150732,0.018061399,0.104850892,0.0,0.20014137,0.053801388,0.015181912,0.12940089,0.026339541,13
0.153900468,0.0,0.125971178,0.161313142,0.004596476,0.107206526,0.007782324,0.19012237,0.072132994,0.007782324,0.102518631,0.066673568,13
0.196224072,0.0,0.137511314,0.140225616,0.014462911,0.137042361,0.0,0.180763678,0.046915614,0.024125346,0.100919787,0.021809301,13
0.179141878,0.0,0.116282806,0.142695747,0.009676982,0.116872581,0.0,0.188390576,0.084994852,0.0,0.085406417,0.076538159,13
0.167053444,0.004624057,0.134306669,0.102462814,0.009248115,0.098601698,0.027744344,0.20773603,0.024906157,0.082180715,0.081601963,0.059533994,20
0.187349856,0.014570931,0.138226609,0.005410455,0.149661273,0.067015047,0.01082091,0.201071932,0.005410455,0.11966291,0.01082091,0.089978712,1
0.148875977,0.008834272,0.169932725,0.0,0.160232857,0.065980614,0.035337088,0.201214119,0.0,0.11206499,0.013251408,0.084275949,8
0.070043588,0.175314734,0.009104721,0.178575138,0.004552361,0.120119554,0.097072862,0.027314163,0.194688147,0.0,0.095900569,0.027314163,2
0.153375621,0.013258541,0.166382594,0.004419514,0.159165378,0.066016127,0.026517081,0.196781217,0.0,0.104601859,0.004419514,0.105062556,8
0.213634006,0.0,0.114796803,0.0,0.112670383,0.106002461,0.00692885,0.249167715,0.0,0.097553486,0.020786549,0.078459746,1
0.181960828,0.0,0.162886338,0.13691789,0.008837315,0.073343959,0.009122769,0.208764449,0.053336756,0.022806923,0.067564408,0.074458365,13
0.207704556,0.0,0.133343509,0.179698803,0.011289133,0.097077836,0.0,0.186314378,0.069712884,0.008383726,0.060364684,0.046110492,13
0.183414141,0.0,0.089700457,0.0,0.152234836,0.054199454,0.043359563,0.189915054,0.021679782,0.160686554,0.0,0.10481016,1
0.199006926,0.0,0.138531972,0.103733761,0.0,0.135150924,0.008811588,0.189996879,0.067788482,0.026434763,0.056398068,0.074146637,13
0.188563764,0.004597715,0.106112136,0.151801561,0.012382136,0.127401975,0.0,0.159627645,0.094459374,0.013793146,0.095283397,0.045977152,13
0.17600943,0.0,0.081855996,0.17714619,0.01370738,0.108171135,0.0,0.225190842,0.074646637,0.013642666,0.111439503,0.018190221,13
0.198235281,0.0,0.123473128,0.1818652,0.007941653,0.112945996,0.0,0.178298801,0.058098534,0.025264467,0.060762527,0.053114414,13
0.21397494,0.0,0.137937427,0.149906261,0.007409957,0.124369091,0.0,0.181857615,0.056895092,0.008753091,0.058843461,0.060053065,13
0.190738482,0.0,0.137413034,0.163068666,0.007652378,0.11021902,0.0,0.198090117,0.067795902,0.009039454,0.055763769,0.060219178,13
0.197722003,0.0,0.112602137,0.151236113,0.007958844,0.105231642,0.0,0.205128805,0.086428704,0.009401469,0.053406409,0.070883875,13
0.180953836,0.009660562,0.166942196,0.0,0.14419232,0.092227213,0.022669023,0.189628312,0.0,0.116663468,0.004830281,0.072232788,1
0.192465963,0.013705783,0.160207094,0.0,0.160806742,0.013705783,0.027411566,0.234408055,0.0,0.062219588,0.006852891,0.128216536,8
0.163829138,0.0,0.151812898,0.166575611,0.010373105,0.123309728,0.0,0.167963886,0.047851689,0.0321245,0.098441315,0.03771813,13
0.169157611,0.013874544,0.128586476,0.004624848,0.170642761,0.075783744,0.009249696,0.15327328,0.024910416,0.139112281,0.029535264,0.081249078,1
0.191704622,0.004835129,0.127843745,0.0,0.148183462,0.079229445,0.014505386,0.202247943,0.008186387,0.091948375,0.013021515,0.118293991,1
0.177329405,0.013608646,0.122267295,0.005053141,0.173683223,0.076197924,0.005053141,0.175977394,0.008555505,0.126801242,0.022164151,0.093308934,1
0.219370874,0.0,0.104920307,0.138700487,0.016568821,0.080017003,0.016510084,0.239054555,0.03714769,0.040008501,0.04958899,0.058112687,13
0.208462215,0.0,0.106085024,0.173101765,0.008727936,0.056674477,0.004333137,0.238136428,0.058004289,0.029002145,0.073797517,0.043675067,13
0.23224319,0.0,0.11665278,0.138294766,0.008641743,0.066352458,0.017161378,0.220459803,0.055237493,0.041586765,0.055835531,0.047534095,13
0.189722791,0.0,0.123289815,0.166016759,0.009313459,0.096048163,0.00462383,0.215251493,0.076133819,0.030947786,0.065166177,0.023485908,13
0.189387111,0.0,0.091255471,0.152212927,0.011257969,0.132681148,0.0,0.201420681,0.082359623,0.006649298,0.106178578,0.026597193,13
0.240141188,0.0,0.103000635,0.0,0.196682476,0.06124519,0.0,0.25486842,0.008749313,0.079437804,0.0,0.055874974,1
0.219026551,0.004255703,0.102073572,0.148729892,0.024288729,0.068428803,0.025534216,0.212808137,0.042557027,0.045506682,0.055384696,0.051405992,13
0.224453848,0.0,0.113238513,0.171124084,0.01442389,0.079880929,0.004785264,0.227466252,0.04306738,0.022457755,0.036514084,0.062588001,13
0.168750935,0.0,0.136617064,0.00656811,0.139065735,0.076895079,0.025861405,0.165515294,0.01313622,0.144701833,0.0,0.122888324,1
0.165696435,0.009288415,0.147478597,0.0,0.155538287,0.108688163,0.016254726,0.151340833,0.024117864,0.124766919,0.023221038,0.073608723,1
0.184842907,0.011441633,0.13547796,0.0,0.146077503,0.099521577,0.013362171,0.163397181,0.006320934,0.12589517,0.035206188,0.078456777,1
0.182440504,0.016250264,0.127053105,0.0,0.164808428,0.096200349,0.017812098,0.169005326,0.017812098,0.109766429,0.039151533,0.059699865,1
0.210283201,0.0,0.059301205,0.215261472,0.014243175,0.07778401,0.007071274,0.181725743,0.120772539,0.014142547,0.09234356,0.007071274,13
